comuna;cut_comuna;region;cut_region;fecha;delito;delito_n
Ranquil;16206;Ñuble;16;2021-09-01;Robos en lugar no habitado;2,000
La Granja;13111;Metropolitana de Santiago;13;2021-02-01;Otros robos con fuerza en las cosas;1,000
Machalí;6108;Libertador Gral. Bernardo O'Higgins;6;2018-05-01;Robos en lugar no habitado;19,000
Ninhue;16204;Ñuble;16;2021-03-01;Disparo injustificado;0,000
Estación Central;13106;Metropolitana de Santiago;13;2022-09-01;Porte / posesión de armas o explosivos;5,000
Ñiquén;16303;Ñuble;16;2021-07-01;Auxilio al suicidio;0,000
Los Alamos;8206;Biobío;8;2024-02-01;Consumo de alcohol y drogas en la vía pública;16,000
Freire;9105;La Araucanía;9;2023-05-01;Hurtos;6,000
Rinconada;5303;Valparaíso;5;2020-05-01;Disparo injustificado;0,000
Futrono;14202;Los Ríos;14;2021-09-01;Violación con homicidio;0,000
Pudahuel;13124;Metropolitana de Santiago;13;2019-09-01;Animales sueltos en la vía pública;11,000
Llanquihue;10107;Los Lagos;10;2021-05-01;Robos en lugar no habitado;0,000
Negrete;8307;Biobío;8;2019-09-01;Lesiones leves;4,000
Cauquenes;7201;Maule;7;2018-12-01;Ofensas al pudor;0,000
Tierra Amarilla;3103;Atacama;3;2022-01-01;Otros delitos sexuales;0,000
Quillota;5501;Valparaíso;5;2020-10-01;Robo de vehículo motorizado;2,000
Malloa;6109;Libertador Gral. Bernardo O'Higgins;6;2023-04-01;Otros robos con fuerza en las cosas;0,000
Rancagua;6101;Libertador Gral. Bernardo O'Higgins;6;2020-09-01;Hurtos;161,000
Colina;13301;Metropolitana de Santiago;13;2022-03-01;Porte / posesión de armas o explosivos;4,000
Santiago;13101;Metropolitana de Santiago;13;2020-06-01;Otras infracciones a la ley de drogas;6,000
Vallenar;3301;Atacama;3;2019-01-01;Robo de vehículo motorizado;2,000
Cholchol;9121;La Araucanía;9;2021-12-01;Robo frustrado;0,000
Victoria;9211;La Araucanía;9;2020-01-01;Femicidio no íntimo;0,000
San Gregorio;12104;Magallanes y de la Antártica Chilena;12;2021-12-01;Elaboración o producción de sustancias;0,000
Pitrufquén;9114;La Araucanía;9;2022-10-01;Robo en lugar habitado;2,000
Valdivia;14101;Los Ríos;14;2021-04-01;Abigeato;1,000
Calera;5502;Valparaíso;5;2021-07-01;Violencia intrafamiliar a adulto mayor;0,000
Nueva Imperial;9111;La Araucanía;9;2023-07-01;Otras infracciones a la ley de drogas;1,000
General Lagos;15202;Arica y Parinacota;15;2018-02-01;Amenazas o riña;0,000
Cerro Navia;13103;Metropolitana de Santiago;13;2018-08-01;Otras infracciones a la ley de drogas;0,000
Pichilemu;6201;Libertador Gral. Bernardo O'Higgins;6;2019-04-01;Otras violaciones;1,000
Diego de Almagro;3202;Atacama;3;2018-08-01;Otros robos con fuerza en las cosas;0,000
Tortel;11303;Aysén del General Carlos Ibáñez del Campo;11;2019-07-01;Violencia intrafamiliar a adulto mayor;0,000
Camiña;1402;Tarapacá;1;2021-02-01;Receptación;0,000
Río Ibáñez;11402;Aysén del General Carlos Ibáñez del Campo;11;2019-11-01;Violencia intrafamiliar a adulto mayor;0,000
Collipulli;9202;La Araucanía;9;2018-04-01;Lesiones graves o gravísimas;2,000
Ñiquén;16303;Ñuble;16;2018-09-01;Daños;12,000
Los Angeles;8301;Biobío;8;2019-06-01;Abigeato;9,000
Vichuquén;7309;Maule;7;2018-04-01;Hurtos;1,000
Puente Alto;13201;Metropolitana de Santiago;13;2018-07-01;Desórdenes públicos;27,000
Purranque;10303;Los Lagos;10;2018-10-01;Animales sueltos en la vía pública;1,000
Antuco;8302;Biobío;8;2021-09-01;Microtráfico de sustancias;0,000
Isla de Pascua;5201;Valparaíso;5;2020-09-01;Suicidio femicida;0,000
María Elena;2302;Antofagasta;2;2023-10-01;Violencia intrafamiliar a mujer;6,000
Machalí;6108;Libertador Gral. Bernardo O'Higgins;6;2021-04-01;Violencia intrafamiliar a mujer;23,000
Vicuña;4106;Coquimbo;4;2022-07-01;Robo de objetos de o desde vehículo;1,000
Vilcún;9119;La Araucanía;9;2022-11-01;Robo de objetos de o desde vehículo;3,000
San Pablo;10307;Los Lagos;10;2019-11-01;Microtráfico de sustancias;0,000
Futaleufú;10402;Los Lagos;10;2021-10-01;Tortura o apremios ilegítimos con violación;0,000
Gorbea;9107;La Araucanía;9;2019-06-01;Amenazas o riña;3,000
El Monte;13602;Metropolitana de Santiago;13;2018-04-01;Comercio ilegal;0,000
Laja;8304;Biobío;8;2018-04-01;Femicidio;0,000
Valparaíso;5101;Valparaíso;5;2023-08-01;Lesiones graves o gravísimas;12,000
Torres del Paine;12402;Magallanes y de la Antártica Chilena;12;2020-01-01;Consumo de alcohol y drogas en la vía pública;0,000
Cunco;9103;La Araucanía;9;2022-04-01;Lesiones leves;4,000
Los Andes;5301;Valparaíso;5;2018-08-01;Robo con homicidio;0,000
Renca;13128;Metropolitana de Santiago;13;2018-02-01;Robo en lugar habitado;32,000
Putaendo;5705;Valparaíso;5;2023-12-01;Robos con violencia o intimidación;0,000
Torres del Paine;12402;Magallanes y de la Antártica Chilena;12;2018-07-01;Lesiones graves o gravísimas;0,000
San Rafael;7110;Maule;7;2020-08-01;Homicidios;0,000
Teno;7308;Maule;7;2022-07-01;Tráfico de sustancias;1,000
La Pintana;13112;Metropolitana de Santiago;13;2021-09-01;Receptación;16,000
O'Higgins;11302;Aysén del General Carlos Ibáñez del Campo;11;2023-01-01;Violación con homicidio;0,000
Victoria;9211;La Araucanía;9;2023-11-01;Amenazas o riña;37,000
Coronel;8102;Biobío;8;2018-12-01;Robo frustrado;9,000
Las Cabras;6107;Libertador Gral. Bernardo O'Higgins;6;2023-03-01;Porte / posesión de armas o explosivos;2,000
Lanco;14103;Los Ríos;14;2019-12-01;Suicidio femicida;0,000
Hualqui;8105;Biobío;8;2018-01-01;Porte de arma cortante o punzante;2,000
Talca;7101;Maule;7;2019-12-01;Animales sueltos en la vía pública;16,000
Freirina;3303;Atacama;3;2024-03-01;Elaboración o producción de sustancias;0,000
Punitaqui;4304;Coquimbo;4;2022-06-01;Otros robos con fuerza en las cosas;0,000
Marchihue;6204;Libertador Gral. Bernardo O'Higgins;6;2020-08-01;Abigeato;0,000
Graneros;6106;Libertador Gral. Bernardo O'Higgins;6;2021-03-01;Robos en lugar no habitado;9,000
Natales;12401;Magallanes y de la Antártica Chilena;12;2022-01-01;Porte / posesión de armas o explosivos;0,000
Nogales;5506;Valparaíso;5;2022-08-01;Robo violento de vehículo motorizado;0,000
San Esteban;5304;Valparaíso;5;2022-02-01;Hurtos;6,000
San Vicente;6117;Libertador Gral. Bernardo O'Higgins;6;2020-10-01;Suicidio femicida;0,000
Futaleufú;10402;Los Lagos;10;2021-01-01;Otros robos con fuerza en las cosas;0,000
San Clemente;7109;Maule;7;2019-08-01;Disparo injustificado;0,000
La Serena;4101;Coquimbo;4;2019-10-01;Femicidio;0,000
Chile Chico;11401;Aysén del General Carlos Ibáñez del Campo;11;2023-12-01;Robo de objetos de o desde vehículo;0,000
Río Claro;7108;Maule;7;2022-04-01;Violencia intrafamiliar a hombre;1,000
Quilpué;5801;Valparaíso;5;2018-06-01;Disparo injustificado;0,000
Santiago;13101;Metropolitana de Santiago;13;2020-02-01;Porte / posesión de armas o explosivos;4,000
Negrete;8307;Biobío;8;2021-05-01;Violencia intrafamiliar a niño o niña;0,000
Dalcahue;10205;Los Lagos;10;2022-01-01;Robo violento de vehículo motorizado;0,000
Linares;7401;Maule;7;2023-09-01;Robos con violencia o intimidación;20,000
Talcahuano;8110;Biobío;8;2023-01-01;Violencia intrafamiliar a mujer;88,000
Isla de Maipo;13603;Metropolitana de Santiago;13;2022-04-01;Femicidio;0,000
Corral;14102;Los Ríos;14;2023-07-01;Amenazas o riña;4,000
Concepción;8101;Biobío;8;2024-01-01;Porte de arma cortante o punzante;6,000
Cerrillos;13102;Metropolitana de Santiago;13;2022-07-01;Elaboración o producción de sustancias;0,000
Maullín;10108;Los Lagos;10;2024-01-01;Porte / posesión de armas o explosivos;0,000
Algarrobo;5602;Valparaíso;5;2022-05-01;Lesiones leves;7,000
Las Cabras;6107;Libertador Gral. Bernardo O'Higgins;6;2019-02-01;Suicidio femicida;0,000
Peñaflor;13605;Metropolitana de Santiago;13;2018-12-01;Lesiones leves;32,000
Puqueldón;10206;Los Lagos;10;2018-09-01;Violencia intrafamiliar a hombre;0,000
Villarrica;9120;La Araucanía;9;2019-04-01;Consumo de alcohol y drogas en la vía pública;45,000
Futaleufú;10402;Los Lagos;10;2021-03-01;Desórdenes públicos;0,000
Penco;8107;Biobío;8;2024-03-01;Robo frustrado;2,000
Chépica;6302;Libertador Gral. Bernardo O'Higgins;6;2020-06-01;Consumo de alcohol y drogas en la vía pública;4,000
Fresia;10104;Los Lagos;10;2023-09-01;Violencia intrafamiliar a adulto mayor;0,000
Porvenir;12301;Magallanes y de la Antártica Chilena;12;2022-11-01;Robos con violencia o intimidación;0,000
Lautaro;9108;La Araucanía;9;2019-07-01;Otros delitos sexuales;0,000
Cabrero;8303;Biobío;8;2023-12-01;Violencia intrafamiliar a niño o niña;0,000
Curacautín;9203;La Araucanía;9;2021-03-01;Comercio ilegal;0,000
Casablanca;5102;Valparaíso;5;2020-06-01;Robo violento de vehículo motorizado;0,000
Mariquina;14106;Los Ríos;14;2022-06-01;Violencia intrafamiliar a adulto mayor;4,000
Casablanca;5102;Valparaíso;5;2022-10-01;Robos con violencia o intimidación;2,000
Vitacura;13132;Metropolitana de Santiago;13;2022-08-01;Femicidio;0,000
Punta Arenas;12101;Magallanes y de la Antártica Chilena;12;2021-08-01;Abigeato;0,000
La Unión;14201;Los Ríos;14;2019-09-01;Abusos sexuales;1,000
Pemuco;16105;Ñuble;16;2020-06-01;Porte de arma cortante o punzante;0,000
Pencahue;7107;Maule;7;2018-10-01;Desórdenes públicos;0,000
Pinto;16106;Ñuble;16;2022-05-01;Abusos sexuales;1,000
La Reina;13113;Metropolitana de Santiago;13;2019-07-01;Desórdenes públicos;1,000
Ollagüe;2202;Antofagasta;2;2018-09-01;Ofensas al pudor;0,000
Chillán;16101;Ñuble;16;2018-12-01;Robo frustrado;7,000
Santo Domingo;5606;Valparaíso;5;2018-11-01;Daños;8,000
Victoria;9211;La Araucanía;9;2022-11-01;Robo con homicidio;0,000
Maipú;13119;Metropolitana de Santiago;13;2022-06-01;Otras violaciones;8,000
Pitrufquén;9114;La Araucanía;9;2020-03-01;Violencia intrafamiliar no clasificada;0,000
Camarones;15102;Arica y Parinacota;15;2022-09-01;Robo por sorpresa;0,000
Taltal;2104;Antofagasta;2;2021-01-01;Femicidio no íntimo;0,000
San Vicente;6117;Libertador Gral. Bernardo O'Higgins;6;2019-12-01;Desórdenes públicos;4,000
Curacaví;13503;Metropolitana de Santiago;13;2021-10-01;Robo violento de vehículo motorizado;1,000
Villarrica;9120;La Araucanía;9;2019-03-01;Robo en lugar habitado;14,000
Cabildo;5402;Valparaíso;5;2020-05-01;Porte de arma cortante o punzante;3,000
Huechuraba;13107;Metropolitana de Santiago;13;2018-01-01;Otras infracciones a la ley de drogas;0,000
Doñihue;6105;Libertador Gral. Bernardo O'Higgins;6;2019-06-01;Animales sueltos en la vía pública;0,000
Huara;1404;Tarapacá;1;2020-04-01;Porte de arma cortante o punzante;0,000
Rengo;6115;Libertador Gral. Bernardo O'Higgins;6;2022-11-01;Porte / posesión de armas o explosivos;0,000
Villa Alemana;5804;Valparaíso;5;2020-09-01;Violencia intrafamiliar a niño o niña;0,000
Independencia;13108;Metropolitana de Santiago;13;2020-07-01;Auxilio al suicidio;0,000
Alto Biobío;8314;Biobío;8;2023-02-01;Desórdenes públicos;0,000
Panquehue;5704;Valparaíso;5;2018-11-01;Otros delitos sexuales;0,000
Panquehue;5704;Valparaíso;5;2022-12-01;Desórdenes públicos;0,000
Quilicura;13125;Metropolitana de Santiago;13;2024-02-01;Femicidio no íntimo;0,000
Río Bueno;14204;Los Ríos;14;2021-02-01;Robo por sorpresa;0,000
Chile Chico;11401;Aysén del General Carlos Ibáñez del Campo;11;2022-06-01;Comercio ilegal;0,000
Angol;9201;La Araucanía;9;2020-04-01;Robo en lugar habitado;9,000
Rancagua;6101;Libertador Gral. Bernardo O'Higgins;6;2023-08-01;Elaboración o producción de sustancias;0,000
Iquique;1101;Tarapacá;1;2021-04-01;Elaboración o producción de sustancias;0,000
Punitaqui;4304;Coquimbo;4;2023-02-01;Violencia intrafamiliar no clasificada;0,000
Putre;15201;Arica y Parinacota;15;2020-04-01;Violencia intrafamiliar a hombre;0,000
Penco;8107;Biobío;8;2018-03-01;Otras violaciones;1,000
Guaitecas;11203;Aysén del General Carlos Ibáñez del Campo;11;2020-03-01;Auxilio al suicidio;0,000
Doñihue;6105;Libertador Gral. Bernardo O'Higgins;6;2022-08-01;Robo de vehículo motorizado;0,000
Laja;8304;Biobío;8;2023-11-01;Tortura o apremios ilegítimos con violación;0,000
Villa Alegre;7407;Maule;7;2022-08-01;Robo en lugar habitado;0,000
Cunco;9103;La Araucanía;9;2020-03-01;Porte / posesión de armas o explosivos;1,000
Pitrufquén;9114;La Araucanía;9;2022-05-01;Otros delitos sexuales;0,000
General Lagos;15202;Arica y Parinacota;15;2023-12-01;Tortura o apremios ilegítimos con violación;0,000
María Pinto;13504;Metropolitana de Santiago;13;2023-11-01;Lesiones leves;5,000
Pinto;16106;Ñuble;16;2022-09-01;Abusos sexuales;3,000
Codegua;6102;Libertador Gral. Bernardo O'Higgins;6;2018-01-01;Violencia intrafamiliar a adulto mayor;0,000
San Antonio;5601;Valparaíso;5;2021-01-01;Abigeato;0,000
Huasco;3304;Atacama;3;2023-05-01;Auxilio al suicidio;0,000
Pica;1405;Tarapacá;1;2019-10-01;Robos en lugar no habitado;1,000
Mejillones;2102;Antofagasta;2;2023-04-01;Tortura o apremios ilegítimos con violación;0,000
Cochamó;10103;Los Lagos;10;2020-12-01;Lesiones leves;0,000
Punitaqui;4304;Coquimbo;4;2023-01-01;Otros delitos sexuales;1,000
Casablanca;5102;Valparaíso;5;2019-12-01;Lesiones graves o gravísimas;1,000
Providencia;13123;Metropolitana de Santiago;13;2023-02-01;Auxilio al suicidio;0,000
Lanco;14103;Los Ríos;14;2019-11-01;Robo por sorpresa;0,000
Alto del Carmen;3302;Atacama;3;2020-01-01;Daños;1,000
Puyehue;10304;Los Lagos;10;2020-06-01;Disparo injustificado;0,000
Nancagua;6305;Libertador Gral. Bernardo O'Higgins;6;2019-11-01;Otras violaciones;0,000
Calle Larga;5302;Valparaíso;5;2018-11-01;Lesiones leves;4,000
San Pablo;10307;Los Lagos;10;2023-02-01;Abusos sexuales;0,000
Colchane;1403;Tarapacá;1;2021-11-01;Abusos sexuales;1,000
La Serena;4101;Coquimbo;4;2021-05-01;Daños;143,000
Alto del Carmen;3302;Atacama;3;2021-05-01;Animales sueltos en la vía pública;0,000
Loncoche;9109;La Araucanía;9;2020-11-01;Abigeato;0,000
Puchuncaví;5105;Valparaíso;5;2021-05-01;Otras infracciones a la ley de armas;0,000
Paredones;6206;Libertador Gral. Bernardo O'Higgins;6;2023-04-01;Desórdenes públicos;0,000
Teno;7308;Maule;7;2023-08-01;Porte / posesión de armas o explosivos;0,000
Ñuñoa;13120;Metropolitana de Santiago;13;2019-10-01;Porte de arma cortante o punzante;4,000
La Florida;13110;Metropolitana de Santiago;13;2020-04-01;Violencia intrafamiliar no clasificada;1,000
Retiro;7405;Maule;7;2023-05-01;Lesiones leves;4,000
Máfil;14105;Los Ríos;14;2023-05-01;Amenazas o riña;4,000
Cabildo;5402;Valparaíso;5;2020-01-01;Lesiones graves o gravísimas;1,000
Lautaro;9108;La Araucanía;9;2020-11-01;Tortura o apremios ilegítimos con violación;0,000
San Fernando;6301;Libertador Gral. Bernardo O'Higgins;6;2019-12-01;Tortura o apremios ilegítimos con violación;0,000
Cholchol;9121;La Araucanía;9;2021-09-01;Otras infracciones a la ley de armas;0,000
La Estrella;6202;Libertador Gral. Bernardo O'Higgins;6;2018-09-01;Porte de arma cortante o punzante;0,000
Treguaco;16207;Ñuble;16;2020-04-01;Femicidio;0,000
Hualaihué;10403;Los Lagos;10;2024-01-01;Consumo de alcohol y drogas en la vía pública;16,000
Portezuelo;16205;Ñuble;16;2020-06-01;Ofensas al pudor;0,000
Chillán;16101;Ñuble;16;2018-09-01;Lesiones leves;47,000
Litueche;6203;Libertador Gral. Bernardo O'Higgins;6;2020-08-01;Robo de vehículo motorizado;0,000
Quirihue;16201;Ñuble;16;2020-02-01;Lesiones menos graves;0,000
Las Cabras;6107;Libertador Gral. Bernardo O'Higgins;6;2022-03-01;Robo con homicidio;0,000
San Esteban;5304;Valparaíso;5;2018-06-01;Otras infracciones a la ley de armas;0,000
Río Ibáñez;11402;Aysén del General Carlos Ibáñez del Campo;11;2020-02-01;Desórdenes públicos;0,000
Calbuco;10102;Los Lagos;10;2021-05-01;Receptación;0,000
Licantén;7303;Maule;7;2021-11-01;Elaboración o producción de sustancias;0,000
Tierra Amarilla;3103;Atacama;3;2022-09-01;Violencia intrafamiliar a hombre;2,000
Lago Ranco;14203;Los Ríos;14;2024-01-01;Lesiones menos graves;4,000
Carahue;9102;La Araucanía;9;2023-02-01;Animales sueltos en la vía pública;1,000
Pencahue;7107;Maule;7;2023-06-01;Otras violaciones;0,000
La Granja;13111;Metropolitana de Santiago;13;2019-11-01;Desórdenes públicos;7,000
Renaico;9209;La Araucanía;9;2024-02-01;Violencia intrafamiliar a adulto mayor;0,000
Placilla;6308;Libertador Gral. Bernardo O'Higgins;6;2021-01-01;Suicidio femicida;0,000
La Unión;14201;Los Ríos;14;2024-01-01;Otras infracciones a la ley de armas;1,000
La Higuera;4104;Coquimbo;4;2020-03-01;Disparo injustificado;0,000
Freirina;3303;Atacama;3;2023-12-01;Robo de objetos de o desde vehículo;0,000
Villa Alegre;7407;Maule;7;2020-10-01;Lesiones graves o gravísimas;0,000
Punitaqui;4304;Coquimbo;4;2018-10-01;Daños;2,000
San Clemente;7109;Maule;7;2020-09-01;Otras infracciones a la ley de armas;0,000
Peumo;6112;Libertador Gral. Bernardo O'Higgins;6;2022-11-01;Robo violento de vehículo motorizado;0,000
Chañaral;3201;Atacama;3;2021-07-01;Robo de vehículo motorizado;2,000
Valdivia;14101;Los Ríos;14;2018-11-01;Femicidio;1,000
Nueva Imperial;9111;La Araucanía;9;2022-07-01;Desórdenes públicos;0,000
Calbuco;10102;Los Lagos;10;2019-06-01;Femicidio no íntimo;0,000
Putre;15201;Arica y Parinacota;15;2023-05-01;Lesiones leves;2,000
Chañaral;3201;Atacama;3;2023-10-01;Lesiones leves;8,000
María Elena;2302;Antofagasta;2;2023-01-01;Desórdenes públicos;0,000
Calera de Tango;13403;Metropolitana de Santiago;13;2021-09-01;Femicidio no íntimo;0,000
Panguipulli;14108;Los Ríos;14;2020-08-01;Violencia intrafamiliar a adulto mayor;4,000
Marchihue;6204;Libertador Gral. Bernardo O'Higgins;6;2019-07-01;Ofensas al pudor;0,000
Huara;1404;Tarapacá;1;2022-02-01;Abigeato;0,000
Lota;8106;Biobío;8;2024-03-01;Robos con violencia o intimidación;4,000
San Vicente;6117;Libertador Gral. Bernardo O'Higgins;6;2023-11-01;Otras infracciones a la ley de drogas;1,000
Fresia;10104;Los Lagos;10;2021-12-01;Comercio ilegal;1,000
San Gregorio;12104;Magallanes y de la Antártica Chilena;12;2019-09-01;Otros delitos sexuales;0,000
Curacaví;13503;Metropolitana de Santiago;13;2018-01-01;Robo en lugar habitado;13,000
Purranque;10303;Los Lagos;10;2019-02-01;Porte de arma cortante o punzante;0,000
Freirina;3303;Atacama;3;2020-10-01;Animales sueltos en la vía pública;1,000
Putre;15201;Arica y Parinacota;15;2023-04-01;Robo con violación;0,000
Tortel;11303;Aysén del General Carlos Ibáñez del Campo;11;2021-04-01;Otras infracciones a la ley de drogas;0,000
Concón;5103;Valparaíso;5;2022-10-01;Abigeato;0,000
Andacollo;4103;Coquimbo;4;2018-01-01;Hurtos;3,000
Caldera;3102;Atacama;3;2023-06-01;Elaboración o producción de sustancias;0,000
Guaitecas;11203;Aysén del General Carlos Ibáñez del Campo;11;2022-08-01;Femicidio;0,000
Quellón;10208;Los Lagos;10;2020-06-01;Tráfico de sustancias;0,000
Molina;7304;Maule;7;2018-08-01;Amenazas con armas;2,000
Timaukel;12303;Magallanes y de la Antártica Chilena;12;2021-07-01;Consumo de alcohol y drogas en la vía pública;0,000
Lota;8106;Biobío;8;2023-08-01;Violencia intrafamiliar a adulto mayor;2,000
San Bernardo;13401;Metropolitana de Santiago;13;2022-04-01;Abusos sexuales;22,000
Pucón;9115;La Araucanía;9;2019-01-01;Microtráfico de sustancias;11,000
Traiguén;9210;La Araucanía;9;2019-10-01;Amenazas o riña;7,000
Purranque;10303;Los Lagos;10;2021-08-01;Femicidio no íntimo;0,000
Nueva Imperial;9111;La Araucanía;9;2021-12-01;Amenazas con armas;0,000
Catemu;5702;Valparaíso;5;2023-03-01;Elaboración o producción de sustancias;0,000
San Ignacio;16108;Ñuble;16;2019-11-01;Abigeato;0,000
Conchalí;13104;Metropolitana de Santiago;13;2022-10-01;Tortura o apremios ilegítimos con violación;0,000
San José de Maipo;13203;Metropolitana de Santiago;13;2021-09-01;Tráfico de sustancias;0,000
Pichilemu;6201;Libertador Gral. Bernardo O'Higgins;6;2023-02-01;Lesiones leves;19,000
Huasco;3304;Atacama;3;2022-05-01;Amenazas o riña;7,000